Student_ID,Age,Gender,Grade,Section,Math_Score,Science_Score,English_Score,Social_Score,Computer_Score,Attendance_Percentage,Study_Hours,Homework_Completion,Parent_Education,Family_Income,Transport_Mode,Distance_from_School_km,Extra_Curricular,Sports_Participation,Discipline_Record,Library_Usage,Internet_Access,Online_Class_Attendance,Health_Issues,Scholarship,Exam_Stress_Level,Teacher_Feedback,Peer_Interaction,Result_Status
20,13,Male,2,B,71,75,81,42,40,62,6,No,High School,65216,Walk,15.83,None,No,Poor,Low,Yes,Regular,Chronic,Yes,Medium,Excellent,Low,Pass
21,13,Male,7,A,75,91,49,79,87,89,4,No,Post Graduate,97619,Bus,12.95,Dance,No,Average,High,No,Regular,Minor,Yes,High,Average,Medium,Fail
22,17,Male,12,B,74,47,62,59,70,78,6,Yes,High School,55839,Van,0.67,Sports,Yes,Average,High,Yes,Regular,None,No,Medium,Excellent,Low,Pass
23,13,Female,8,C,39,37,87,52,91,97,2,Yes,High School,38422,Cycle,6.76,Music,Yes,Poor,Low,No,Irregular,Chronic,Yes,Medium,Good,High,Pass
24,17,Male,1,C,52,98,85,98,46,92,7,No,Graduate,82251,Cycle,17.27,Sports,Yes,Good,Low,No,Regular,None,Yes,Medium,Average,High,Pass
25,14,Male,8,D,80,50,67,77,94,73,2,No,Graduate,47637,Walk,7.86,Sports,Yes,Poor,Low,Yes,Irregular,Chronic,Yes,Medium,Excellent,Low,Pass
26,11,Female,6,C,38,83,71,81,94,88,6,No,Post Graduate,20563,Bus,3.44,Sports,Yes,Average,High,No,Regular,Minor,Yes,High,Average,High,Fail
27,5,Female,9,A,97,96,47,74,87,96,4,No,Post Graduate,61731,Cycle,12.95,Music,No,Good,High,Yes,Irregular,None,No,High,Good,Medium,Pass
28,14,Female,11,A,78,85,59,66,68,81,4,No,Graduate,84893,Walk,17.39,Dance,Yes,Good,Low,No,Irregular,Chronic,No,High,Good,Medium,Fail
29,14,Female,3,D,91,93,95,49,83,72,7,No,Graduate,89086,Bus,18.15,Dance,Yes,Good,High,No,Irregular,None,Yes,High,Good,Medium,Fail
30,10,Female,5,C,71,36,63,40,37,96,4,Yes,Post Graduate,95437,Walk,5.22,None,Yes,Good,High,No,Irregular,None,Yes,Low,Good,Medium,Pass
31,9,Male,1,A,66,36,58,62,79,79,1,Yes,Graduate,94430,Van,7.53,Sports,No,Poor,Low,No,Irregular,Chronic,No,Medium,Good,Low,Fail
32,6,Male,7,A,67,94,91,67,35,84,4,Yes,Post Graduate,89876,Van,14.25,None,Yes,Average,Low,No,Regular,Chronic,No,Low,Average,Medium,Fail
33,6,Female,8,B,56,46,84,89,61,79,3,Yes,Graduate,16793,Van,12.92,Dance,Yes,Poor,Low,Yes,Irregular,Minor,Yes,Low,Good,Low,Fail
34,9,Female,1,C,37,70,48,35,52,98,4,Yes,Post Graduate,95273,Bus,1.46,Music,Yes,Average,Low,Yes,Regular,Chronic,Yes,Medium,Average,Low,Pass
35,10,Female,9,B,63,85,42,79,57,68,3,No,Post Graduate,83243,Van,7.42,Sports,No,Good,Medium,No,Regular,Chronic,Yes,Low,Good,Low,Pass
36,5,Female,12,B,68,36,42,46,71,84,3,No,Graduate,13980,Bus,15.89,Dance,No,Poor,High,No,Regular,None,No,Medium,Excellent,High,Fail
37,15,Male,6,A,48,43,79,37,50,69,5,Yes,High School,86222,Cycle,3.22,Dance,Yes,Poor,High,No,Regular,Chronic,No,High,Good,Medium,Pass
38,6,Male,10,D,46,61,60,45,35,77,1,No,Post Graduate,31031,Bus,3.48,None,No,Poor,Low,Yes,Irregular,Minor,No,High,Average,High,Pass
39,9,Female,6,B,91,64,36,45,88,68,5,No,Post Graduate,64110,Walk,7.56,Sports,Yes,Average,Low,Yes,Regular,None,Yes,Low,Excellent,Low,Fail
40,16,Male,1,A,87,58,70,51,74,90,7,Yes,High School,93938,Cycle,18.79,None,Yes,Poor,Low,No,Irregular,Minor,No,Medium,Good,Medium,Pass
41,10,Female,3,C,36,75,49,97,92,75,5,Yes,High School,42533,Cycle,15.48,Music,No,Poor,Low,No,Regular,None,Yes,Medium,Excellent,Low,Pass
42,8,Female,8,C,81,50,93,53,85,81,2,Yes,High School,22138,Walk,1.84,None,Yes,Good,High,Yes,Regular,Minor,No,Medium,Average,High,Pass
43,17,Female,9,A,56,58,87,73,40,60,6,Yes,High School,81217,Walk,19.97,Sports,Yes,Average,High,No,Irregular,Chronic,Yes,High,Excellent,Low,Fail
44,8,Male,10,B,62,76,87,44,66,81,6,Yes,Graduate,63455,Van,13.61,Dance,Yes,Good,Low,No,Regular,Chronic,No,Medium,Good,Low,Pass
45,11,Male,9,D,73,35,80,97,88,89,7,Yes,Post Graduate,83422,Walk,2.86,Music,No,Poor,Medium,Yes,Regular,Chronic,No,Low,Average,Medium,Fail
46,13,Female,4,D,37,72,90,62,48,69,4,Yes,Post Graduate,38072,Walk,14.26,Music,No,Poor,High,Yes,Regular,Minor,Yes,Low,Average,Medium,Fail
47,17,Female,9,D,36,83,47,49,73,88,6,Yes,High School,76935,Van,9.22,Music,No,Average,Low,Yes,Regular,Chronic,No,Medium,Good,Medium,Pass
48,7,Male,6,C,87,84,98,49,63,76,7,Yes,High School,96845,Van,11.73,Dance,Yes,Good,Low,No,Irregular,Minor,No,High,Average,High,Fail
49,17,Male,2,C,66,61,66,36,36,94,6,Yes,Post Graduate,36556,Walk,15.79,Dance,No,Average,High,Yes,Irregular,Chronic,No,High,Average,Low,Fail
50,17,Female,12,B,94,70,78,70,39,68,5,No,Post Graduate,74842,Walk,9.46,Music,Yes,Good,High,Yes,Regular,Minor,Yes,High,Good,Low,Fail
51,9,Female,9,C,79,85,82,73,40,62,4,Yes,Graduate,60391,Van,2.09,Dance,No,Average,Medium,No,Irregular,Chronic,Yes,Low,Excellent,Medium,Fail
52,16,Male,4,B,86,77,91,73,81,91,3,Yes,Graduate,13127,Walk,12.97,Sports,No,Average,High,No,Irregular,None,Yes,Medium,Good,Medium,Pass
53,6,Male,8,B,47,83,95,60,64,82,6,Yes,Post Graduate,27996,Walk,3.55,Dance,No,Good,Low,No,Irregular,Chronic,No,High,Average,Medium,Fail
54,6,Male,5,D,61,78,36,89,98,84,6,Yes,Graduate,38689,Bus,19.24,Sports,Yes,Poor,Medium,No,Regular,Chronic,Yes,Low,Good,Medium,Fail
55,10,Female,1,A,56,82,65,87,36,87,1,Yes,Post Graduate,71585,Cycle,5.41,Sports,No,Poor,Low,No,Irregular,Minor,No,Low,Average,High,Fail
56,8,Male,11,C,67,55,94,75,82,82,1,Yes,Graduate,29169,Bus,2.01,None,Yes,Poor,High,No,Irregular,Chronic,Yes,Medium,Average,Medium,Fail
57,9,Female,3,D,77,57,49,59,38,86,7,No,High School,20284,Cycle,3.87,None,Yes,Poor,High,Yes,Regular,None,Yes,High,Average,High,Fail
58,17,Female,10,B,40,82,91,51,93,92,5,No,Graduate,64006,Cycle,8.56,Sports,Yes,Average,High,No,Irregular,Chronic,No,Low,Excellent,High,Fail
59,10,Female,7,D,79,87,48,72,80,68,4,No,Graduate,62543,Cycle,3.93,Dance,Yes,Poor,Low,No,Regular,Chronic,No,Low,Good,High,Fail
60,8,Female,12,B,79,47,82,70,35,85,7,Yes,Post Graduate,70041,Bus,17.35,Music,Yes,Good,Low,No,Regular,Chronic,No,Low,Average,Low,Fail
61,16,Male,9,D,61,64,93,81,97,76,7,Yes,Graduate,25472,Walk,9.2,None,No,Good,Low,No,Regular,Chronic,No,Low,Good,Medium,Pass
62,11,Female,7,B,88,52,73,56,78,73,7,Yes,Post Graduate,58158,Bus,19.59,Sports,No,Poor,Medium,Yes,Regular,Minor,Yes,High,Average,Medium,Pass
63,15,Female,8,C,95,60,96,99,72,66,1,No,High School,99746,Van,7.19,Music,Yes,Average,Medium,Yes,Regular,None,No,Low,Average,High,Pass
64,11,Female,2,C,69,77,92,51,92,63,6,Yes,Post Graduate,78173,Cycle,2.66,Music,Yes,Average,Medium,Yes,Regular,Chronic,Yes,Medium,Excellent,Low,Fail
65,9,Female,6,C,55,60,92,54,78,61,6,No,High School,37594,Bus,17.35,None,Yes,Average,Medium,Yes,Irregular,Minor,No,Low,Good,Low,Pass
66,16,Male,8,B,71,86,92,52,48,64,5,No,Post Graduate,95728,Van,11.78,Music,No,Poor,High,Yes,Regular,Chronic,No,Medium,Average,Low,Fail
67,17,Female,5,A,77,72,97,69,69,69,4,Yes,High School,55697,Cycle,19.11,Dance,No,Poor,High,No,Regular,None,No,High,Good,Low,Pass
68,9,Male,11,A,35,43,68,55,43,71,1,Yes,Graduate,22016,Walk,13.31,Music,No,Poor,High,Yes,Regular,Chronic,No,Medium,Excellent,Low,Fail
69,15,Female,10,C,69,76,62,80,65,61,1,Yes,High School,85236,Bus,8.96,Music,Yes,Average,Medium,No,Irregular,None,No,High,Excellent,Low,Fail
70,6,Female,4,A,71,55,36,85,62,61,2,No,Post Graduate,10451,Van,6.13,None,No,Good,Low,No,Regular,None,No,Low,Good,Medium,Fail
71,5,Female,3,D,36,43,35,62,70,69,5,Yes,High School,31487,Van,2.83,None,No,Poor,High,No,Irregular,Minor,No,Low,Average,Low,Fail
72,12,Male,6,A,86,55,94,85,89,71,4,Yes,Post Graduate,77605,Walk,13.25,None,No,Poor,Medium,Yes,Regular,None,No,Low,Good,High,Fail
73,12,Female,12,B,99,42,64,90,91,87,2,Yes,Post Graduate,62376,Walk,9.78,Sports,Yes,Good,High,No,Irregular,Minor,Yes,Medium,Excellent,Low,Pass
74,15,Female,10,D,78,50,61,82,99,67,1,Yes,Graduate,46765,Walk,18.39,Music,Yes,Good,Medium,No,Regular,None,No,Low,Good,Medium,Pass
75,8,Male,5,D,57,87,59,75,40,63,4,Yes,High School,29082,Van,11.59,Dance,Yes,Good,Low,No,Irregular,Chronic,No,High,Good,High,Pass
76,16,Female,10,C,41,76,41,47,61,84,5,Yes,Post Graduate,36281,Van,18.93,None,No,Good,Low,No,Regular,None,Yes,Medium,Excellent,Low,Fail
77,13,Male,4,B,72,54,78,46,76,88,3,No,Graduate,54685,Cycle,14.72,Sports,Yes,Good,High,Yes,Irregular,Chronic,No,High,Excellent,Medium,Fail
78,9,Female,2,B,64,42,37,58,79,99,3,Yes,Graduate,65037,Cycle,5.88,Dance,Yes,Average,Low,No,Irregular,Chronic,Yes,Medium,Good,Medium,Fail
79,6,Male,3,C,53,40,57,49,62,82,1,Yes,Graduate,38098,Van,7.38,Sports,Yes,Good,Low,No,Irregular,None,Yes,Low,Excellent,Medium,Pass
80,6,Female,2,B,72,59,75,35,92,93,6,Yes,High School,35477,Cycle,15.96,Dance,No,Poor,High,No,Irregular,Chronic,Yes,Low,Average,Low,Fail
81,15,Female,9,A,56,99,72,50,98,60,3,Yes,High School,49260,Bus,1.61,Dance,Yes,Good,Medium,Yes,Regular,Chronic,No,Medium,Average,High,Fail
82,7,Female,2,B,46,38,74,38,54,73,1,No,Graduate,12640,Bus,19.35,Dance,No,Poor,Low,Yes,Irregular,None,No,Medium,Excellent,High,Fail
83,8,Female,2,A,91,81,94,47,46,84,7,No,Post Graduate,65045,Cycle,10.61,Dance,Yes,Good,High,No,Regular,Minor,No,Low,Average,High,Fail
84,13,Male,5,A,79,66,65,54,67,73,7,No,High School,54913,Bus,4.65,Sports,No,Average,Low,No,Irregular,Chronic,No,High,Average,High,Fail
85,10,Female,7,A,99,96,44,71,69,64,2,No,Graduate,55660,Van,7.39,None,Yes,Good,High,Yes,Regular,None,Yes,Low,Excellent,Low,Pass
86,14,Female,10,B,96,98,81,35,78,68,2,No,Post Graduate,45895,Bus,7.15,Dance,Yes,Poor,High,No,Irregular,None,Yes,High,Good,Medium,Fail
87,9,Male,5,B,40,35,50,93,94,97,4,Yes,High School,78437,Bus,17.23,Sports,Yes,Poor,Low,Yes,Irregular,Minor,No,High,Average,High,Pass
88,10,Male,1,B,97,75,64,73,80,67,2,No,High School,19858,Bus,19.11,None,No,Poor,Low,No,Regular,None,No,High,Average,Low,Pass
89,17,Male,3,C,38,62,99,96,64,78,1,No,Post Graduate,56004,Walk,9.65,None,No,Good,Low,Yes,Irregular,None,Yes,Low,Average,Medium,Pass
90,17,Female,12,D,90,88,94,83,87,90,4,No,High School,58870,Bus,19.6,Dance,No,Poor,Medium,No,Irregular,None,Yes,Medium,Good,High,Pass
91,7,Male,8,D,94,74,87,65,48,62,4,Yes,Post Graduate,46518,Cycle,16.83,Dance,No,Good,Medium,No,Irregular,Minor,No,Low,Excellent,High,Pass
92,7,Female,4,C,63,62,35,73,40,64,4,No,High School,20481,Van,13.64,Music,Yes,Poor,Low,No,Irregular,Chronic,No,Low,Good,Medium,Pass
93,9,Female,7,B,38,76,63,71,77,93,3,No,Post Graduate,32325,Walk,14.62,Dance,No,Average,Low,Yes,Regular,None,No,Low,Average,Low,Fail
94,17,Female,2,C,74,70,67,98,97,69,2,No,High School,32475,Cycle,18.8,Music,No,Average,Low,No,Regular,Chronic,No,Medium,Good,Medium,Fail
95,17,Male,11,B,63,80,69,74,82,63,7,No,High School,12444,Bus,9.29,Sports,No,Poor,Low,No,Regular,None,Yes,Medium,Good,Medium,Fail
96,5,Female,2,C,67,87,37,63,77,64,2,No,Graduate,55818,Cycle,8.7,Sports,Yes,Good,High,No,Regular,Minor,No,Medium,Excellent,High,Pass
97,17,Male,1,A,62,42,63,56,86,97,6,Yes,Graduate,18928,Bus,3.05,Music,No,Poor,Medium,No,Irregular,Chronic,No,Medium,Average,Low,Fail
98,15,Male,9,D,37,50,83,71,42,85,4,Yes,Graduate,85998,Van,8.35,Dance,No,Poor,Low,No,Regular,None,No,Low,Average,Medium,Pass
99,11,Female,2,D,44,82,79,57,42,97,2,No,Graduate,99441,Bus,19.82,None,No,Good,Medium,No,Irregular,Chronic,Yes,High,Good,High,Pass
100,15,Female,3,C,52,40,59,56,67,63,7,No,Post Graduate,29765,Walk,16.14,Music,No,Good,High,No,Irregular,Minor,No,Low,Average,High,Fail
101,11,Female,1,A,41,53,47,57,79,83,6,Yes,Post Graduate,80643,Walk,2.02,None,No,Good,High,Yes,Irregular,Chronic,No,Low,Excellent,Medium,Fail
102,12,Female,7,C,71,68,84,71,54,80,7,Yes,Post Graduate,99096,Van,7.09,None,No,Poor,High,Yes,Irregular,None,Yes,High,Average,Low,Pass
103,15,Female,4,A,88,53,85,93,81,66,2,Yes,Post Graduate,74211,Bus,9.04,Sports,No,Average,High,Yes,Regular,None,No,High,Good,Low,Fail
104,8,Male,12,A,88,68,63,54,60,81,1,No,Post Graduate,97251,Van,6.55,Dance,Yes,Good,High,Yes,Regular,Chronic,Yes,Low,Excellent,High,Pass
105,13,Male,8,D,69,60,87,91,68,68,1,Yes,Graduate,87651,Walk,10.48,Dance,Yes,Good,High,Yes,Regular,None,Yes,Medium,Excellent,High,Fail
106,6,Male,4,A,37,81,53,63,91,68,7,No,Graduate,82204,Cycle,4.3,Music,No,Good,Low,Yes,Regular,Minor,Yes,Medium,Average,Low,Fail
107,17,Female,4,B,78,40,94,46,62,95,3,No,Post Graduate,58758,Cycle,11.6,None,No,Good,Medium,No,Regular,Minor,No,Low,Excellent,Low,Fail
108,12,Male,2,B,54,63,82,68,55,85,3,No,Graduate,67947,Van,13.7,Sports,Yes,Good,High,No,Regular,Chronic,Yes,High,Excellent,High,Pass
109,11,Female,9,D,94,60,52,85,74,81,2,No,Post Graduate,70882,Walk,8.1,Sports,No,Poor,High,Yes,Regular,None,No,Medium,Excellent,High,Fail
110,16,Male,11,B,69,60,79,72,94,76,2,No,Post Graduate,81723,Van,10.03,Dance,Yes,Average,Low,Yes,Irregular,Minor,No,High,Excellent,High,Fail
111,5,Female,5,C,72,80,83,75,63,62,6,No,Graduate,14808,Van,7.25,Dance,No,Poor,High,Yes,Irregular,Minor,No,High,Good,Low,Fail
112,6,Female,8,C,86,42,65,63,47,68,1,No,High School,81955,Bus,2.15,None,No,Good,Medium,Yes,Regular,Minor,Yes,Medium,Excellent,High,Fail
113,16,Male,6,C,57,81,61,94,61,84,3,No,High School,30699,Bus,17.27,None,No,Average,Low,Yes,Irregular,Chronic,No,Low,Good,Medium,Pass
114,14,Male,6,D,80,75,57,97,49,93,5,No,Graduate,99113,Walk,1.47,Dance,No,Good,Low,Yes,Irregular,Minor,No,Medium,Excellent,Medium,Fail
115,13,Female,11,C,63,54,55,78,35,67,1,No,Post Graduate,51763,Van,14.04,Sports,Yes,Average,Medium,No,Irregular,Chronic,Yes,High,Excellent,Medium,Fail
116,14,Female,5,D,92,90,63,78,65,97,5,Yes,Graduate,39148,Walk,13.29,Music,No,Good,High,No,Regular,None,Yes,High,Good,High,Pass
117,15,Male,7,D,98,36,65,91,96,75,5,Yes,Graduate,91471,Walk,16.83,Sports,No,Good,Low,Yes,Regular,Minor,Yes,Medium,Good,Medium,Pass
118,8,Male,8,A,39,49,39,49,63,69,7,Yes,Post Graduate,92878,Van,3.49,Dance,No,Poor,Medium,No,Irregular,Chronic,No,High,Good,High,Fail
119,13,Male,9,C,55,44,54,43,71,67,3,Yes,High School,29527,Bus,1.9,None,Yes,Good,Medium,Yes,Regular,Minor,No,Medium,Good,High,Fail
120,14,Female,1,D,90,48,90,50,77,76,2,Yes,High School,84512,Cycle,18.87,Dance,Yes,Poor,Low,No,Irregular,Minor,Yes,Medium,Good,High,Pass
121,15,Female,11,C,62,92,47,76,86,71,2,Yes,Graduate,34329,Walk,19.23,Music,Yes,Average,Medium,No,Irregular,Minor,Yes,High,Average,High,Fail
122,13,Male,1,A,76,96,41,84,76,64,5,No,Post Graduate,65474,Cycle,15.71,Dance,No,Good,High,Yes,Irregular,Chronic,No,Low,Average,Low,Fail
123,5,Female,6,C,47,82,42,47,35,62,3,No,Graduate,91836,Van,14.63,None,Yes,Poor,Low,Yes,Irregular,Chronic,No,Medium,Excellent,High,Fail
124,11,Female,8,D,82,36,90,74,43,67,4,Yes,High School,19389,Cycle,1.7,Dance,Yes,Poor,Low,Yes,Irregular,Chronic,No,Medium,Good,Low,Fail
125,12,Female,5,C,83,99,61,40,91,78,5,Yes,Post Graduate,81036,Bus,6.08,Sports,Yes,Average,Medium,No,Irregular,None,No,High,Good,Medium,Pass
126,12,Female,5,D,64,62,96,53,61,61,2,No,Post Graduate,31139,Bus,1.63,Music,No,Good,High,No,Irregular,Chronic,Yes,Medium,Good,High,Pass
127,11,Female,1,D,67,52,35,52,63,86,3,Yes,Graduate,19328,Walk,14.17,Sports,Yes,Poor,High,No,Irregular,None,No,Medium,Average,High,Fail
128,7,Female,6,B,45,61,78,40,86,81,1,No,High School,54617,Van,15.61,Dance,Yes,Poor,Medium,Yes,Regular,None,Yes,High,Excellent,Medium,Pass
129,14,Female,9,C,97,70,97,52,59,72,2,No,High School,32550,Cycle,9.59,Sports,No,Average,Low,No,Regular,Chronic,Yes,High,Excellent,Low,Fail
130,17,Male,8,B,70,41,58,45,36,92,6,No,High School,23346,Bus,13.88,Sports,No,Poor,Low,No,Irregular,Minor,No,High,Good,High,Fail
131,16,Male,3,C,59,78,85,45,78,74,1,Yes,Post Graduate,26743,Bus,10.63,None,Yes,Poor,High,No,Irregular,Chronic,No,Low,Good,High,Fail
132,16,Male,10,A,58,60,49,75,51,67,7,Yes,Graduate,95081,Van,4.06,Music,Yes,Average,Low,No,Regular,Minor,No,Medium,Average,Low,Pass
133,17,Female,1,B,36,54,92,53,93,71,6,No,Post Graduate,67490,Walk,2.38,Sports,Yes,Good,High,No,Irregular,None,No,Medium,Average,Medium,Pass
134,13,Female,5,D,81,47,45,55,97,77,3,Yes,High School,25248,Cycle,4.06,None,No,Good,High,Yes,Regular,None,Yes,High,Excellent,High,Pass
135,8,Male,3,A,77,71,56,81,96,73,6,Yes,Graduate,99273,Cycle,12.22,None,Yes,Poor,High,Yes,Irregular,None,Yes,High,Excellent,High,Fail
136,17,Female,10,B,45,88,38,67,56,91,2,No,Post Graduate,69015,Cycle,19.11,Dance,Yes,Average,High,No,Irregular,Minor,No,High,Excellent,Low,Fail
137,15,Female,11,D,83,41,45,53,82,98,4,Yes,Post Graduate,32713,Cycle,1.29,Music,Yes,Good,Medium,Yes,Irregular,Chronic,Yes,Medium,Excellent,Low,Fail
138,17,Male,3,A,40,96,48,54,99,86,3,Yes,Graduate,28128,Bus,10.51,Sports,No,Good,Low,No,Irregular,Chronic,No,Low,Good,Medium,Fail
139,10,Female,3,B,55,60,72,48,85,93,3,No,Graduate,32100,Van,5.1,Dance,Yes,Poor,Low,No,Regular,Minor,Yes,Medium,Good,Medium,Fail
140,9,Female,10,C,41,46,71,54,81,91,4,No,Post Graduate,58341,Walk,0.85,Sports,Yes,Good,Low,No,Irregular,Minor,No,High,Good,Medium,Fail
141,6,Male,10,A,57,75,51,99,39,88,7,No,Post Graduate,24321,Bus,18.33,Dance,No,Average,Medium,No,Regular,Minor,No,Low,Excellent,High,Fail
142,11,Female,2,B,38,60,43,35,58,71,7,No,High School,28601,Bus,8.74,None,Yes,Good,Medium,No,Regular,Chronic,No,Low,Good,Low,Fail
143,16,Male,2,D,35,98,54,82,59,68,1,No,Post Graduate,75126,Bus,6.81,Sports,No,Average,Low,Yes,Regular,None,Yes,Low,Excellent,Medium,Fail
144,7,Male,10,A,71,63,78,41,71,76,1,Yes,High School,84681,Van,11.78,Sports,Yes,Good,High,Yes,Regular,Minor,Yes,Medium,Good,Medium,Pass
145,12,Male,3,C,62,35,81,44,82,72,6,No,High School,75805,Van,4.39,Music,Yes,Good,High,No,Irregular,None,No,Low,Excellent,High,Fail
146,5,Male,4,D,69,53,40,87,68,68,4,No,Post Graduate,51731,Cycle,2.87,None,No,Poor,Medium,Yes,Regular,Chronic,Yes,High,Excellent,Low,Fail
147,16,Female,9,D,47,99,49,65,65,70,4,No,High School,34743,Van,4.93,Dance,No,Good,High,No,Regular,None,No,Medium,Good,Medium,Pass
148,5,Male,6,D,40,96,54,38,96,65,4,Yes,Post Graduate,22843,Walk,15.82,None,Yes,Poor,Low,No,Irregular,Chronic,Yes,High,Excellent,Medium,Fail
149,12,Male,10,B,86,46,58,82,37,89,4,Yes,Post Graduate,68974,Cycle,12.53,None,Yes,Poor,High,Yes,Regular,Minor,No,Low,Excellent,Low,Fail
150,6,Female,5,D,86,37,53,91,76,71,3,Yes,Post Graduate,48207,Bus,18.54,None,No,Good,High,No,Irregular,None,No,Low,Average,Medium,Pass
151,9,Male,9,B,56,36,40,93,64,87,5,No,High School,53154,Bus,3.23,Music,Yes,Average,Medium,Yes,Regular,Minor,No,Medium,Excellent,High,Fail
152,5,Male,5,B,40,74,55,92,97,84,4,Yes,Post Graduate,66764,Van,19.91,Dance,No,Average,Low,Yes,Regular,None,Yes,Low,Good,Medium,Fail
153,17,Female,10,C,90,41,36,78,91,84,3,No,Graduate,11991,Walk,19.49,None,Yes,Good,High,No,Regular,Minor,Yes,High,Average,Medium,Pass
154,10,Male,10,C,59,52,44,47,46,91,2,No,Graduate,95969,Walk,7.42,Sports,Yes,Poor,Low,No,Irregular,None,No,Medium,Average,Low,Pass
155,17,Male,1,D,70,53,55,76,53,98,3,No,Graduate,67637,Cycle,11.88,Music,No,Average,Medium,No,Regular,Chronic,No,High,Good,Low,Fail
156,6,Male,10,B,95,58,76,44,81,64,4,Yes,Post Graduate,71158,Walk,17.66,None,No,Good,High,No,Irregular,Minor,No,High,Excellent,Medium,Pass
157,15,Male,10,A,37,90,79,68,85,75,3,No,High School,42688,Cycle,1.75,None,No,Good,Medium,Yes,Irregular,Minor,Yes,Low,Good,Medium,Fail
158,16,Female,1,C,83,94,52,51,93,61,4,No,Post Graduate,23618,Walk,5.01,Music,Yes,Poor,Medium,Yes,Irregular,Chronic,No,High,Average,Medium,Pass
159,12,Female,4,B,94,73,38,72,67,62,5,No,Post Graduate,98832,Van,8.16,Music,No,Average,High,Yes,Irregular,None,Yes,Medium,Excellent,Low,Pass
160,5,Male,1,C,89,41,94,60,69,79,5,No,High School,82149,Walk,14.26,Music,No,Average,High,No,Irregular,Chronic,No,Medium,Average,High,Fail
161,11,Female,10,A,84,88,98,78,55,78,6,Yes,Graduate,47907,Cycle,19.11,None,Yes,Average,High,No,Regular,Minor,Yes,Low,Good,Medium,Fail
